category,skill,job_count,percentage
Software Engineering,Python,98,16.11842105263158
Software Engineering,Java,47,7.730263157894737
Software Engineering,JavaScript,18,2.9605263157894735
Software Engineering,C++,31,5.098684210526316
Software Engineering,SQL,27,4.440789473684211
Software Engineering,AWS,18,2.9605263157894735
Software Engineering,Azure,17,2.7960526315789473
Software Engineering,Git,18,2.9605263157894735
Software Engineering,Docker,11,1.8092105263157896
Software Engineering,Kubernetes,12,1.9736842105263157
Software Engineering,React,24,3.9473684210526314
Software Engineering,Pandas,2,0.3289473684210526
Software Engineering,NumPy,2,0.3289473684210526
Software Engineering,TensorFlow,4,0.6578947368421052
Software Engineering,PyTorch,7,1.151315789473684
Data Science & Analytics,Python,67,28.03347280334728
Data Science & Analytics,Java,5,2.092050209205021
Data Science & Analytics,JavaScript,1,0.41841004184100417
Data Science & Analytics,C++,10,4.184100418410042
Data Science & Analytics,SQL,42,17.573221757322173
Data Science & Analytics,AWS,2,0.8368200836820083
Data Science & Analytics,Azure,2,0.8368200836820083
Data Science & Analytics,Git,1,0.41841004184100417
Data Science & Analytics,Docker,1,0.41841004184100417
Data Science & Analytics,Kubernetes,0,0.0
Data Science & Analytics,React,1,0.41841004184100417
Data Science & Analytics,Pandas,5,2.092050209205021
Data Science & Analytics,NumPy,2,0.8368200836820083
Data Science & Analytics,TensorFlow,2,0.8368200836820083
Data Science & Analytics,PyTorch,4,1.6736401673640167
Machine Learning & AI,Python,45,17.857142857142858
Machine Learning & AI,Java,2,0.7936507936507936
Machine Learning & AI,JavaScript,1,0.3968253968253968
Machine Learning & AI,C++,11,4.365079365079365
Machine Learning & AI,SQL,3,1.1904761904761905
Machine Learning & AI,AWS,7,2.7777777777777777
Machine Learning & AI,Azure,8,3.1746031746031744
Machine Learning & AI,Git,0,0.0
Machine Learning & AI,Docker,1,0.3968253968253968
Machine Learning & AI,Kubernetes,0,0.0
Machine Learning & AI,React,0,0.0
Machine Learning & AI,Pandas,3,1.1904761904761905
Machine Learning & AI,NumPy,2,0.7936507936507936
Machine Learning & AI,TensorFlow,4,1.5873015873015872
Machine Learning & AI,PyTorch,9,3.571428571428571
